date,close,volume
2025-01-01,5545.82,19376315700.0
2025-01-02,5545.82,19376315700.0
2025-01-03,5427.8,17407731000.0
2025-01-06,5427.1,14626565800.0
2025-01-07,5484.68,14506527800.0
2025-01-08,5461.59,16384991500.0
2025-01-09,5456.59,12983262700.0
2025-01-10,5369.28,13017955300.0
2025-01-13,5381.7,11968293700.0
2025-01-14,5572.27,17214286000.0
2025-01-15,5522.46,13839324300.0
2025-01-16,5545.63,14931808500.0
2025-01-17,5587.29,12669117400.0
2025-01-20,5614.33,13571250700.0
2025-01-21,5633.92,12649130000.0
2025-01-22,5607.06,11537499600.0
2025-01-23,5584.25,16341998700.0
2025-01-24,5649.95,13943805800.0
2025-01-27,5589.34,13654605600.0
2025-02-05,5614.39,15567414100.0
2025-02-06,5747.9,18142819300.0
2025-02-07,5833.99,23271886300.0
2025-02-10,5888.55,20930090500.0
2025-02-11,5858.28,18192050800.0
2025-02-12,5940.53,19544615500.0
2025-02-13,5898.26,22828183900.0
2025-02-14,5947.8,21191426100.0
2025-02-17,5948.72,23390168900.0
2025-02-18,5840.71,21494148200.0
2025-02-19,5943.88,20529830500.0
2025-02-20,5957.55,19820741100.0
2025-02-21,6057.06,25231712800.0
2025-02-24,6044.97,24381379800.0
2025-02-25,5979.97,20683395300.0
2025-02-26,6051.74,21086089800.0
2025-02-27,6028.99,21665293000.0
2025-02-28,5859.87,20522381400.0
2025-03-03,5885.77,18502458100.0
2025-03-04,5937.63,15392221100.0
2025-03-05,5950.7,16307150000.0
2025-03-06,6047.77,21304285200.0
2025-03-07,6013.77,20743714900.0
2025-03-10,6013.62,17304433600.0
2025-03-11,6044.97,17385564300.0
2025-03-12,6040.5,18476353700.0
2025-03-13,5993.97,19371071700.0
2025-03-14,6099.98,21924583400.0
2025-03-17,6108.02,18431727300.0
2025-03-18,6133.3,16602304300.0
2025-03-19,6101.44,15389378000.0
2025-03-20,6059.49,14718786500.0
2025-03-21,5971.93,17410378500.0
2025-03-24,5969.08,16919243500.0
2025-03-25,5946.95,14748394800.0
2025-03-26,5948.5,13670211100.0
2025-03-27,5957.6,13470890400.0
2025-03-28,5916.03,13426192700.0
2025-03-31,5857.77,15425609000.0
2025-04-01,5892.85,13644860200.0
2025-04-02,5899.09,11215996000.0
2025-04-03,5845.5,13493862500.0
2025-04-07,5287.03,23652265600.0
2025-04-08,5326.91,22384066500.0
2025-04-09,5439.77,24511802700.0
2025-04-10,5544.06,21196303500.0
2025-04-11,5581.32,16441166300.0
2025-04-14,5627.14,15548707700.0
2025-04-15,5602.53,12327370800.0
2025-04-16,5556.86,13253722400.0
2025-04-17,5557.01,11365238200.0
2025-04-18,5560.72,11164425800.0
2025-04-21,5642.38,12311188300.0
2025-04-22,5624.21,12466668900.0
2025-04-23,5634.95,12700776400.0
2025-04-24,5605.88,12269669600.0
2025-04-25,5627.18,14000080000.0
2025-04-28,5598.3,13621809400.0
2025-04-29,5604.91,12674292700.0
2025-04-30,5631.82,13838662100.0
2025-05-06,5740.33,16277360600.0
2025-05-07,5750.29,17101175700.0
2025-05-08,5773.81,13614032200.0
2025-05-09,5721.72,12393900700.0
2025-05-12,5793.67,13582436700.0
2025-05-13,5781.67,13827108100.0
2025-05-14,5799.12,15627999400.0
2025-05-15,5715.3,13516076800.0
2025-05-16,5715.85,11670913600.0
2025-05-19,5720.79,11538493900.0
2025-05-20,5747.37,11689661500.0
2025-05-21,5757.92,11580454200.0
2025-05-22,5703.28,10905772000.0
2025-05-23,5653.04,11436119800.0
2025-05-26,5669.46,9717098900.0
2025-05-27,5652.15,9514936300.0
2025-05-28,5637.24,9490888300.0
2025-05-29,5719.91,11468248400.0
2025-05-30,5671.07,10990070700.0
2025-06-03,5694.84,12285390300.0
2025-06-04,5739.01,11619607700.0
2025-06-05,5769.97,12522358400.0
2025-06-06,5762.08,10821766000.0
2025-06-09,5805.65,12818861900.0
2025-06-10,5757.99,13826918100.0
2025-06-11,5792.95,12371670700.0
2025-06-12,5799.93,12561584600.0
2025-06-13,5740.24,16761337400.0
2025-06-16,5767.81,12824265800.0
2025-06-17,5750.91,12152662400.0
2025-06-18,5745.87,11270384400.0
2025-06-19,5676.83,12553113400.0
2025-06-20,5639.51,10179476600.0
2025-06-23,5674.17,11160180200.0
2025-06-24,5765.84,14208225600.0
2025-06-25,5862.55,18463231000.0
2025-06-26,5838.25,18016416300.0
2025-06-27,5863.73,19938972500.0
2025-06-30,5915.39,16627514700.0
2025-07-01,5934.67,15419236500.0
2025-07-02,5892.95,16250048500.0
2025-07-03,5922.66,13007004600.0
2025-07-04,5911.44,16494106000.0
2025-07-07,5900.41,13720736200.0
2025-07-08,5977.74,16868114200.0
2025-07-09,5953.49,16491440200.0
2025-07-10,5983.05,17624260700.0
2025-07-11,6027.08,22236309800.0
2025-07-14,6020.86,18927744400.0
2025-07-15,6018.76,18973623400.0
2025-07-16,6017.19,14861006200.0
2025-07-17,6082.46,14969265800.0
2025-07-18,6099.61,15315220400.0
2025-07-21,6161.31,20735050700.0
2025-07-22,6213.41,24621164200.0
2025-07-23,6196.76,25837789600.0
2025-07-24,6293.6,26835556400.0
2025-07-25,6299.59,23705532800.0
2025-07-28,6323.42,21444826700.0
2025-07-29,6356.13,20175762900.0
2025-07-30,6314.69,21212841100.0
2025-07-31,6226.34,22421423700.0
2025-08-01,6213.2,16590719100.0
2025-08-04,6261.73,14859148000.0
2025-08-05,6303.24,15420666500.0
2025-08-06,6357.38,16602763800.0
2025-08-07,6337.54,17044640000.0
2025-08-08,6323.5,17250752600.0
2025-08-11,6391.76,17490919900.0
2025-08-12,6418.16,16835191800.0
2025-08-13,6508.1,21602242300.0
2025-08-14,6429.85,22895316800.0
2025-08-15,6568.57,24521724000.0
2025-08-18,6668.17,30244822900.0
2025-08-19,6655.31,25283927600.0
2025-08-20,6728.07,24423390700.0
2025-08-21,6704.17,24254016400.0
2025-08-22,6822.85,25678382000.0
2025-08-25,6951.9,33382894500.0
2025-08-26,6964.07,28153238200.0
2025-08-27,6862.56,32806018300.0
2025-08-28,7011.16,30806178600.0
2025-08-29,7043.94,28091581400.0
2025-09-01,7110.29,28590831100.0
2025-09-02,6961.69,29403653900.0
2025-09-03,6868.46,25908326600.0
2025-09-04,6698.45,27034189400.0
2025-09-05,6913.95,24085745700.0
2025-09-08,6992.12,24417430400.0
2025-09-09,6928.97,22584355700.0
2025-09-10,6932.11,18992286700.0
2025-09-11,7122.71,24395106100.0
2025-09-12,7147.75,26656750800.0
2025-09-15,7137.36,23826572400.0
2025-09-16,7190.99,24234918300.0
2025-09-17,7260.04,25826444900.0
2025-09-18,7199.88,34858954100.0
2025-09-19,7170.35,27150719300.0
2025-09-22,7225.13,23185806900.0
2025-09-23,7180.71,28128363400.0
2025-09-24,7323.71,24006493800.0
2025-09-25,7341.32,23617503000.0
2025-09-26,7240.91,21144414800.0
2025-09-29,7350.56,23353941800.0
2025-09-30,7412.37,22070750200.0
2025-10-09,7548.92,28313078400.0
2025-10-10,7398.22,26225664600.0
2025-10-13,7376.56,25802781700.0
2025-10-14,7194.85,27735887300.0
2025-10-15,7294.0,21755977700.0
2025-10-16,7231.53,19493637000.0
2025-10-17,7016.07,20004411300.0
2025-10-20,7069.64,17683419200.0
2025-10-21,7185.62,20597382900.0
2025-10-22,7128.48,16974325400.0
2025-10-23,7142.95,18893373200.0
2025-10-24,7258.53,19532393300.0
2025-10-27,7379.39,23205182100.0
2025-10-28,7341.03,20211846300.0
2025-10-29,7480.97,22384413300.0
2025-10-30,7385.71,24341203600.0
2025-10-31,7331.0,23204167600.0
2025-11-03,7333.6,22168706000.0
2025-11-04,7210.83,19332584200.0
2025-11-05,7229.34,19558024300.0
2025-11-06,7345.72,20172296700.0
2025-11-07,7327.91,19292057800.0
2025-11-10,7343.8,20450133000.0
2025-11-11,7291.61,19166031300.0
2025-11-12,7243.25,18550701000.0
2025-11-13,7355.29,19989023000.0
2025-11-14,7235.46,20586491000.0
2025-11-17,7235.35,20305060200.0
2025-11-18,7151.02,20221412100.0
2025-11-19,7122.75,16278660200.0
2025-11-20,7061.95,15961874600.0
2025-11-21,6817.41,20893338400.0
2025-11-24,6868.97,16636391300.0
2025-11-25,6954.6,16271253000.0
2025-11-26,6965.05,14894352600.0
2025-11-27,6951.28,13784110300.0
2025-11-28,7031.55,14021118400.0
2025-12-01,7101.83,17897343200.0
2025-12-02,7040.3,14951819700.0
2025-12-03,6996.36,15783886700.0
2025-12-04,7012.81,14103833800.0
2025-12-05,7097.84,16873827400.0
2025-12-08,7172.37,19261175000.0
2025-12-09,7121.33,16690106600.0
2025-12-10,7155.99,15396782700.0
2025-12-11,7082.89,18184855400.0
2025-12-12,7169.79,19840247300.0
2025-12-15,7113.96,17217406400.0
2025-12-16,7001.32,17206587400.0
2025-12-17,7137.83,17441313600.0
2025-12-18,7100.84,15489612300.0
2025-12-19,7169.55,17884314600.0
2025-12-22,7255.66,17824288100.0
2025-12-23,7256.79,17347600200.0
2025-12-24,7352.04,16883771300.0
