date,close,volume
2025-01-02,19368.6745,658.66
2025-01-03,19123.018,584.0
2025-01-06,18724.6674,521.2
2025-01-07,18745.206,401.82
2025-01-08,18738.2077,468.89
2025-01-09,18721.9913,375.22
2025-01-10,18463.9529,369.32
2025-01-13,18540.0309,381.11
2025-01-14,18899.7666,496.66
2025-01-15,18773.4875,356.88
2025-01-16,18646.6836,390.37
2025-01-17,18826.5486,417.54
2025-01-20,18901.043,394.45
2025-01-21,18788.2472,363.13
2025-01-22,18469.8996,356.36
2025-01-23,18453.5109,382.83
2025-01-24,18390.7957,386.91
2025-01-27,18371.7773,370.57
2025-02-05,17976.8866,450.4
2025-02-06,18081.5443,395.53
2025-02-07,18297.5271,533.19
2025-02-10,18289.124,494.41
2025-02-11,18122.4047,426.58
2025-02-12,18321.206,402.17
2025-02-13,18708.8941,689.33
2025-02-14,18694.2674,436.06
2025-02-17,18678.5452,465.37
2025-02-18,18507.9424,490.6
2025-02-19,18664.6216,464.65
2025-02-20,18625.5838,387.84
2025-02-21,18673.1264,527.08
2025-02-24,18781.168,586.31
2025-02-25,18478.3521,445.19
2025-02-26,18648.7925,460.62
2025-02-27,19084.7099,767.87
2025-02-28,19066.8948,759.01
2025-03-03,18911.6419,602.14
2025-03-04,18761.4915,407.64
2025-03-05,18723.76,400.4
2025-03-06,19019.6756,457.27
2025-03-07,19227.8423,522.63
2025-03-10,19173.26,452.26
2025-03-11,19579.0585,641.96
2025-03-12,19375.2607,505.83
2025-03-13,19362.86,458.16
2025-03-14,20354.2511,1222.28
2025-03-17,20294.6271,881.72
2025-03-18,20144.7421,538.2
2025-03-19,20031.3662,428.64
2025-03-20,19725.7541,452.98
2025-03-21,19461.6898,522.39
2025-03-24,19531.5129,537.84
2025-03-25,19520.643,456.56
2025-03-26,19501.0134,365.46
2025-03-27,19694.0933,374.59
2025-03-28,19548.5165,413.17
2025-03-31,19363.8011,419.28
2025-04-01,19465.4068,373.02
2025-04-02,19397.4625,302.11
2025-04-03,19627.3849,453.9
2025-04-07,18775.7843,1020.52
2025-04-08,19408.9076,939.75
2025-04-09,19752.9012,941.85
2025-04-10,19828.1234,894.67
2025-04-11,19640.0474,643.78
2025-04-14,19578.7933,586.92
2025-04-15,19672.6993,627.35
2025-04-16,19781.6848,581.06
2025-04-17,19907.2754,577.05
2025-04-18,19697.1001,445.53
2025-04-21,19549.8217,411.83
2025-04-22,19543.9657,470.01
2025-04-23,19466.4483,454.12
2025-04-24,19452.0013,459.0
2025-04-25,19371.6539,463.81
2025-04-28,19313.1371,505.13
2025-04-29,19219.3886,505.06
2025-04-30,19240.423,546.9
2025-05-06,19285.1219,489.1
2025-05-07,19338.989,458.33
2025-05-08,19425.5588,352.25
2025-05-09,19450.958,345.84
2025-05-12,19520.2181,400.74
2025-05-13,19483.1707,381.8
2025-05-14,19745.907,459.12
2025-05-15,19655.858,375.58
2025-05-16,19452.5227,391.34
2025-05-19,19319.7827,475.88
2025-05-20,19454.7611,631.6
2025-05-21,19453.1143,419.16
2025-05-22,19412.0929,358.99
2025-05-23,19307.2256,398.59
2025-05-26,19217.769,416.82
2025-05-27,19238.57,441.37
2025-05-28,19361.8613,461.35
2025-05-29,19320.3898,428.56
2025-05-30,19179.108,423.65
2025-06-03,19151.0,472.86
2025-06-04,19217.1355,484.81
2025-06-05,19110.4917,502.97
2025-06-06,18971.251,409.1
2025-06-09,18904.2059,408.69
2025-06-10,18757.7786,460.8
2025-06-11,18788.4459,372.48
2025-06-12,18588.5346,514.28
2025-06-13,18165.7343,684.53
2025-06-16,18124.081,499.46
2025-06-17,18086.4548,384.81
2025-06-18,18134.9327,484.77
2025-06-19,17975.8387,443.68
2025-06-20,18145.8436,508.71
2025-06-23,17963.3431,443.27
2025-06-24,18134.3492,443.97
2025-06-25,18207.4921,486.83
2025-06-26,18123.8481,476.5
2025-06-27,17985.5997,392.2
2025-06-30,18058.8409,473.39
2025-07-01,18047.729,406.88
2025-07-02,18031.3654,423.32
2025-07-03,18046.2046,376.13
2025-07-04,18067.4796,363.81
2025-07-07,17939.7661,321.97
2025-07-08,18031.7169,437.69
2025-07-09,18104.9884,486.12
2025-07-10,18124.8329,448.3
2025-07-11,18202.4772,672.68
2025-07-14,18248.0255,543.03
2025-07-15,18085.6968,585.92
2025-07-16,18161.7322,463.42
2025-07-17,18274.2837,469.22
2025-07-18,18395.5459,511.34
2025-07-21,18379.6894,471.89
2025-07-22,18715.4222,706.66
2025-07-23,18650.8638,586.55
2025-07-24,18742.0304,556.69
2025-07-25,18488.5976,531.97
2025-07-28,18398.1517,480.45
2025-07-29,18339.3479,625.1
2025-07-30,18488.704,671.95
2025-07-31,18073.1371,655.72
2025-08-01,18084.3365,459.31
2025-08-04,18119.7043,374.71
2025-08-05,18289.8267,430.02
2025-08-06,18286.4847,391.81
2025-08-07,18310.7748,523.23
2025-08-08,18183.6204,412.27
2025-08-11,18427.3386,628.53
2025-08-12,18376.4548,607.08
2025-08-13,18384.3385,702.37
2025-08-14,18361.6866,719.02
2025-08-15,18409.7067,815.32
2025-08-18,18519.2221,823.82
2025-08-19,18715.7863,1112.29
2025-08-20,19003.885,1158.75
2025-08-21,18964.264,879.68
2025-08-22,19036.4385,792.55
2025-08-25,19596.3035,1265.37
2025-08-26,19628.3156,1025.79
2025-08-27,19125.8904,1006.73
2025-08-28,19023.2601,946.91
2025-08-29,19497.1096,1108.85
2025-09-01,19510.899,1007.4
2025-09-02,19446.7929,897.13
2025-09-03,19180.3807,725.73
2025-09-04,19146.8836,796.8
2025-09-05,19270.1525,664.69
2025-09-08,19534.7621,760.99
2025-09-09,19561.6299,651.18
2025-09-10,19502.0804,554.21
2025-09-11,19622.6128,681.77
2025-09-12,19378.5708,669.5
2025-09-15,19314.089,548.13
2025-09-16,19256.6953,543.91
2025-09-17,19184.1223,530.22
2025-09-18,18907.5064,735.6
2025-09-19,18940.9294,570.55
2025-09-22,18708.4879,488.27
2025-09-23,18578.7861,548.26
2025-09-24,18610.4623,427.83
2025-09-25,18474.8372,560.05
2025-09-26,18424.0043,588.31
2025-09-29,18634.3871,593.8
2025-09-30,18580.958,490.06
2025-10-09,18530.7344,614.06
2025-10-10,18574.1271,581.44
2025-10-13,18373.3604,600.6
2025-10-14,18644.6713,700.8
2025-10-15,18778.4713,669.93
2025-10-16,18939.8552,575.47
2025-10-17,18680.436,481.87
2025-10-20,18610.8012,417.79
2025-10-21,18629.2568,456.64
2025-10-22,18560.0836,377.88
2025-10-23,18610.9323,419.5
2025-10-24,18381.0771,501.81
2025-10-27,18352.3576,500.79
2025-10-28,18313.5771,449.47
2025-10-29,18271.5122,505.92
2025-10-30,18251.3741,670.67
2025-10-31,18429.2881,761.42
2025-11-03,18461.2443,624.03
2025-11-04,18223.02,523.53
2025-11-05,18174.0174,443.94
2025-11-06,18201.6118,431.79
2025-11-07,18214.1904,416.38
2025-11-10,18878.601,978.08
2025-11-11,18916.8496,799.26
2025-11-12,18962.1904,720.75
2025-11-13,19073.4056,778.08
2025-11-14,18837.7518,630.0
2025-11-17,18838.6233,545.43
2025-11-18,18847.0091,581.02
2025-11-19,18772.3626,433.49
2025-11-20,18676.316,438.48
2025-11-21,18490.2747,603.28
2025-11-24,18389.1847,460.34
2025-11-25,18431.8303,437.21
2025-11-26,18442.7977,398.82
2025-11-27,18427.3931,347.89
2025-11-28,18499.3011,355.63
2025-12-01,18543.21,420.85
2025-12-02,18406.1925,376.36
2025-12-03,18240.5692,382.66
2025-12-04,18005.9044,445.46
2025-12-05,18052.8644,355.78
2025-12-08,17908.0028,397.78
2025-12-09,17726.2422,447.15
2025-12-10,17783.8978,442.55
2025-12-11,17690.2336,421.35
2025-12-12,17755.3559,550.98
2025-12-15,17872.0645,629.88
2025-12-16,17854.5146,676.4
2025-12-17,17918.0194,637.55
2025-12-18,17828.1989,521.33
2025-12-19,17964.8009,632.48
2025-12-22,17942.823,496.75
2025-12-23,17847.2382,462.96
2025-12-24,17789.3031,406.99
2025-12-25,17955.8318,450.07
2025-12-26,17841.8535,468.69
2025-12-29,17650.4494,507.71
2025-12-30,17570.1325,420.05
2025-12-31,17470.1022,415.63
2026-01-05,17779.5811,618.66
2026-01-06,17880.0342,564.72
2026-01-07,17790.7291,535.5
2026-01-08,17682.6055,586.26
2026-01-09,17776.4037,569.64
2026-01-12,17936.053,719.17
2026-01-13,17775.4623,672.96
2026-01-14,17671.4672,752.14
2026-01-15,17557.7333,491.01
2026-01-16,17430.6526,514.95
2026-01-19,17445.251,510.43
2026-01-20,17529.8503,549.73
2026-01-21,17262.4333,577.94
2026-01-22,17213.6082,521.51
2026-01-23,17205.8753,637.06
2026-01-26,17071.0964,760.52
2026-01-27,16866.9381,622.61
2026-01-28,16854.0279,627.55
2026-01-29,17919.1072,1333.3
2026-01-30,17336.2379,1103.16
2026-02-02,17467.6408,973.93
