date,close
2020-03-25,1.0
2020-03-27,0.997
2020-04-03,1.0089
2020-04-10,1.0226
2020-04-14,1.0358
2020-04-15,1.0368
2020-04-16,1.0434
2020-04-17,1.0474
2020-04-20,1.0577
2020-04-21,1.05
2020-04-22,1.0613
2020-04-23,1.0549
2020-04-24,1.0349
2020-04-27,1.0292
2020-04-28,1.0207
2020-04-29,1.0225
2020-04-30,1.0432
2020-05-06,1.0573
2020-05-07,1.0587
2020-05-08,1.0733
2020-05-11,1.0718
2020-05-12,1.0745
2020-05-13,1.0788
2020-05-14,1.07
2020-05-15,1.0704
2020-05-18,1.0701
2020-05-19,1.0804
2020-05-20,1.07
2020-05-21,1.0604
2020-05-22,1.0428
2020-05-25,1.0381
2020-05-26,1.0614
2020-05-27,1.0514
2020-05-28,1.0528
2020-05-29,1.0647
2020-06-01,1.0966
2020-06-02,1.0988
2020-06-03,1.0979
2020-06-04,1.098
2020-06-05,1.0992
2020-06-08,1.0974
2020-06-09,1.1045
2020-06-10,1.1055
2020-06-11,1.1017
2020-06-12,1.1061
2020-06-15,1.106
2020-06-16,1.1288
2020-06-17,1.1353
2020-06-18,1.1396
2020-06-19,1.1504
2020-06-22,1.1478
2020-06-23,1.1562
2020-06-24,1.1577
2020-06-29,1.1527
2020-06-30,1.1743
2020-07-01,1.1789
2020-07-02,1.1985
2020-07-03,1.2088
2020-07-06,1.2513
2020-07-07,1.2637
2020-07-08,1.2883
2020-07-09,1.33
2020-07-10,1.3283
2020-07-13,1.3633
2020-07-14,1.3594
2020-07-15,1.3447
2020-07-16,1.2819
2020-07-17,1.2893
2020-07-20,1.3206
2020-07-21,1.333
2020-07-22,1.3466
2020-07-23,1.3481
2020-07-24,1.2852
2020-07-27,1.2859
2020-07-28,1.2985
2020-07-29,1.3376
2020-07-30,1.3339
2020-07-31,1.3491
2020-08-03,1.3754
2020-08-04,1.3641
2020-08-05,1.3744
2020-08-06,1.3756
2020-08-07,1.3578
2020-08-10,1.3711
2020-08-11,1.3513
2020-08-12,1.335
2020-08-13,1.3396
2020-08-14,1.3574
2020-08-17,1.3791
2020-08-18,1.3899
2020-08-19,1.3724
2020-08-20,1.3651
2020-08-21,1.3811
2020-08-24,1.3928
2020-08-25,1.3951
2020-08-26,1.3724
2020-08-27,1.3906
2020-08-28,1.4096
2020-08-31,1.4086
2020-09-01,1.4237
2020-09-02,1.4266
2020-09-03,1.4157
2020-09-04,1.4089
2020-09-07,1.3758
2020-09-08,1.3801
2020-09-09,1.3489
2020-09-10,1.3293
2020-09-11,1.3459
2020-09-14,1.3526
2020-09-15,1.3633
2020-09-16,1.356
2020-09-17,1.3638
2020-09-18,1.3826
2020-09-21,1.3785
2020-09-22,1.367
2020-09-23,1.3731
2020-09-24,1.3466
2020-09-25,1.3495
2020-09-28,1.3375
2020-09-29,1.3479
2020-09-30,1.3416
2020-10-09,1.3724
2020-10-12,1.4097
2020-10-13,1.4093
2020-10-14,1.4061
2020-10-15,1.3975
2020-10-16,1.3958
2020-10-19,1.3779
2020-10-20,1.3881
2020-10-21,1.3781
2020-10-22,1.3734
2020-10-23,1.351
2020-10-26,1.3476
2020-10-27,1.3515
2020-10-28,1.3548
2020-10-29,1.3623
2020-10-30,1.3316
2020-11-02,1.3385
2020-11-03,1.3596
2020-11-04,1.357
2020-11-05,1.378
2020-11-06,1.3652
2020-11-09,1.3903
2020-11-10,1.3768
2020-11-11,1.3632
2020-11-12,1.3686
2020-11-13,1.367
2020-11-16,1.3811
2020-11-17,1.3683
2020-11-18,1.3731
2020-11-19,1.3847
2020-11-20,1.3922
2020-11-23,1.3942
2020-11-24,1.3912
2020-11-25,1.3645
2020-11-26,1.3558
2020-11-27,1.3589
2020-11-30,1.3442
2020-12-01,1.3704
2020-12-02,1.3715
2020-12-03,1.3751
2020-12-04,1.3822
2020-12-07,1.3698
2020-12-08,1.3693
2020-12-09,1.3496
2020-12-10,1.3544
2020-12-11,1.3407
2020-12-14,1.3482
2020-12-15,1.3551
2020-12-16,1.3556
2020-12-17,1.373
