date,close
2017-08-10,1.0
2017-08-11,0.9992
2017-08-18,0.9987
2017-08-25,0.9955
2017-09-01,0.9983
2017-09-08,1.0055
2017-09-11,1.0049
2017-09-12,1.0005
2017-09-13,1.0031
2017-09-14,1.0055
2017-09-15,1.0008
2017-09-18,1.003
2017-09-19,1.0027
2017-09-20,1.0051
2017-09-21,1.0029
2017-09-22,1.0029
2017-09-25,1.0102
2017-09-26,1.0045
2017-09-27,1.0094
2017-09-28,1.0196
2017-09-29,1.0242
2017-10-09,1.0311
2017-10-10,1.0545
2017-10-11,1.068
2017-10-12,1.0787
2017-10-13,1.0881
2017-10-16,1.0808
2017-10-17,1.0822
2017-10-18,1.0937
2017-10-19,1.1072
2017-10-20,1.0972
2017-10-23,1.119
2017-10-24,1.1173
2017-10-25,1.145
2017-10-26,1.1313
2017-10-27,1.1329
2017-10-30,1.122
2017-10-31,1.1299
2017-11-01,1.1305
2017-11-02,1.1412
2017-11-03,1.1399
2017-11-06,1.1858
2017-11-07,1.1839
2017-11-08,1.169
2017-11-09,1.177
2017-11-10,1.1868
2017-11-13,1.1842
2017-11-14,1.1547
2017-11-15,1.1515
2017-11-16,1.1729
2017-11-17,1.1479
2017-11-20,1.1718
2017-11-21,1.1789
2017-11-22,1.1749
2017-11-23,1.1182
2017-11-24,1.1145
2017-11-27,1.08
2017-11-28,1.0985
2017-11-29,1.088
2017-11-30,1.0856
2017-12-01,1.0907
2017-12-04,1.0932
2017-12-05,1.0839
2017-12-06,1.0875
2017-12-07,1.0767
2017-12-08,1.0917
2017-12-11,1.1225
2017-12-12,1.1174
2017-12-13,1.1269
2017-12-14,1.1254
2017-12-15,1.1122
2017-12-18,1.1008
2017-12-19,1.1216
2017-12-20,1.123
2017-12-21,1.1427
2017-12-22,1.1476
2017-12-25,1.1452
2017-12-26,1.1431
2017-12-27,1.1154
2017-12-28,1.1279
2017-12-29,1.1383
2017-12-31,1.1382
2018-01-02,1.1383
2018-01-03,1.1478
2018-01-04,1.1548
2018-01-05,1.1514
2018-01-08,1.1553
2018-01-09,1.1754
2018-01-10,1.1655
2018-01-11,1.1715
2018-01-12,1.1765
2018-01-15,1.1685
2018-01-16,1.1785
2018-01-17,1.1637
2018-01-18,1.16
2018-01-19,1.1579
2018-01-22,1.1856
2018-01-23,1.1788
2018-01-24,1.1856
2018-01-25,1.1596
2018-01-26,1.156
2018-01-29,1.1249
2018-01-30,1.1301
2018-01-31,1.132
2018-02-01,1.103
2018-02-02,1.115
2018-02-05,1.0988
2018-02-06,1.0571
2018-02-07,1.0445
2018-02-08,1.0625
2018-02-09,1.0262
2018-02-12,1.0672
2018-02-13,1.0789
2018-02-14,1.0883
2018-02-22,1.1077
2018-02-23,1.1075
2018-02-26,1.1211
2018-02-27,1.1168
2018-02-28,1.1079
2018-03-01,1.1196
2018-03-02,1.1129
2018-03-05,1.1313
2018-03-06,1.1624
2018-03-07,1.1516
2018-03-08,1.1814
2018-03-09,1.1921
2018-03-12,1.2021
2018-03-13,1.181
2018-03-14,1.1765
2018-03-15,1.1822
2018-03-16,1.1777
2018-03-19,1.2093
2018-03-20,1.2355
2018-03-21,1.2216
2018-03-22,1.2137
2018-03-23,1.186
2018-03-26,1.2204
2018-03-27,1.2323
2018-03-28,1.2078
2018-03-29,1.1907
2018-03-30,1.2299
2018-04-02,1.2327
2018-04-03,1.2466
2018-04-04,1.2341
2018-04-09,1.2357
2018-04-10,1.25
2018-04-11,1.2664
2018-04-12,1.2768
2018-04-13,1.2606
2018-04-16,1.2763
2018-04-17,1.2375
2018-04-18,1.2578
2018-04-19,1.2546
2018-04-20,1.2384
2018-04-23,1.2156
2018-04-24,1.2521
2018-04-25,1.3072
2018-04-26,1.2972
2018-04-27,1.3141
2018-05-02,1.3237
2018-05-03,1.3114
2018-05-04,1.3414
2018-05-07,1.3765
2018-05-08,1.3701
2018-05-09,1.3703
2018-05-10,1.405
2018-05-11,1.3568
2018-05-14,1.3526
2018-05-15,1.3752
2018-05-16,1.3865
2018-05-17,1.3606
2018-05-18,1.3637
2018-05-21,1.3617
2018-05-22,1.3982
2018-05-23,1.3949
2018-05-24,1.3973
2018-05-25,1.4219
2018-05-28,1.4494
2018-05-29,1.3713
2018-05-30,1.3568
2018-05-31,1.3949
2018-06-01,1.3414
2018-06-04,1.3386
2018-06-05,1.3745
2018-06-06,1.4042
2018-06-07,1.3825
2018-06-08,1.3826
2018-06-11,1.3435
2018-06-12,1.3831
2018-06-13,1.345
2018-06-14,1.3436
2018-06-15,1.3125
2018-06-19,1.2742
2018-06-20,1.3212
2018-06-21,1.3235
2018-06-22,1.3263
2018-06-25,1.3354
2018-06-26,1.3285
2018-06-27,1.2878
2018-06-28,1.2601
2018-06-29,1.3263
2018-06-30,1.3263
2018-07-02,1.3477
2018-07-03,1.3324
2018-07-04,1.3034
2018-07-05,1.2514
2018-07-06,1.2564
2018-07-09,1.3232
2018-07-10,1.3315
2018-07-11,1.3352
2018-07-12,1.3759
2018-07-13,1.4084
2018-07-16,1.4058
2018-07-17,1.3877
2018-07-18,1.3785
2018-07-19,1.3407
2018-07-20,1.3387
2018-07-23,1.2467
2018-07-24,1.2598
2018-07-25,1.2953
2018-07-26,1.2673
2018-07-27,1.2526
2018-07-30,1.2042
2018-07-31,1.2145
2018-08-01,1.1987
2018-08-02,1.2086
2018-08-03,1.1642
2018-08-06,1.1244
2018-08-07,1.1518
2018-08-08,1.1199
2018-08-09,1.1629
2018-08-10,1.188
2018-08-13,1.2072
2018-08-14,1.1998
2018-08-15,1.1515
2018-08-16,1.1489
2018-08-17,1.1019
2018-08-20,1.0858
2018-08-21,1.1341
2018-08-22,1.1278
2018-08-23,1.144
2018-08-24,1.1509
2018-08-27,1.1871
2018-08-28,1.1875
2018-08-29,1.1808
2018-08-30,1.1662
2018-08-31,1.1356
2018-09-03,1.1303
2018-09-04,1.1392
2018-09-05,1.1252
2018-09-06,1.1105
2018-09-07,1.131
2018-09-10,1.1095
2018-09-11,1.1174
2018-09-12,1.0778
2018-09-13,1.058
2018-09-14,1.0428
2018-09-17,1.0205
2018-09-18,1.0378
2018-09-19,1.055
2018-09-20,1.0481
2018-09-21,1.0729
2018-09-25,1.0732
2018-09-26,1.093
2018-09-27,1.0934
2018-09-28,1.1032
2018-10-08,1.0528
2018-10-09,1.0517
2018-10-10,1.039
2018-10-11,0.9905
2018-10-12,0.9907
2018-10-15,0.9838
2018-10-16,0.9621
2018-10-17,0.9635
2018-10-18,0.937
2018-10-19,0.9665
2018-10-22,1.0264
2018-10-23,1.0151
